col_a,col_b,pvalue
0,01-00_3,2
0,01-00_4,2
0,01-00_5,2
0,03-00_1,2
0,05-00_1,2
0,05-01_3,1
0,05-01_4,1
0,06-01_2,1
0,07-01_4,1
0,age,6
0,asrsa_score,1
0,asrsb_score,3
0,bai_score,4
0,dbi_score,1
0,oci_score,2
0,sqr_score,5
1,03-01_0,1
1,05-00_0,2
1,05-00_5,1
1,05-01_0,1
1,05-01_3,1
1,06-00_2,1
1,06-00_3,2
1,06-00_4,1
1,age,3
1,asrsa_score,2
1,asrsb_score,4
1,bai_score,6
1,dbi_score,4
1,oci_score,5
1,sqr_score,6
2,01-00_0,1
2,03-00_0,1
2,03-00_1,1
2,03-00_3,1
2,05-00_1,2
2,05-00_4,1
2,07-01_1,1
2,07-01_5,1
2,asrsa_score,3
2,asrsb_score,2
2,bai_score,3
2,dbi_score,3
2,oci_score,4
2,sqr_score,3
3,01-00_0,1
3,05-00_0,1
3,05-00_4,1
3,05-01_3,1
3,05-01_4,1
3,07-01_2,1
3,07-01_3,1
3,07-01_4,1
3,age,4
3,asrsa_score,4
3,asrsb_score,3
3,bai_score,4
3,dbi_score,3
3,oci_score,4
3,sqr_score,4
4,03-01_0,1
4,05-00_0,2
4,05-00_3,1
4,05-00_5,1
4,05-01_0,1
4,05-01_5,2
4,06-00_2,1
4,06-00_3,1
4,07-01_2,1
4,age,2
4,asrsa_score,4
4,asrsb_score,4
4,bai_score,6
4,dbi_score,4
4,oci_score,3
4,sqr_score,3
5,01-00_0,1
5,05-00_0,1
5,age,4
5,asrsa_score,2
5,asrsb_score,3
5,bai_score,3
5,dbi_score,1
5,oci_score,3
5,sqr_score,3
