col_a,col_b,pvalue
0,asrsa_score,1
0,asrsb_score,2
0,bai_score,2
0,dbi_score,1
0,oci_score,1
0,srq_score,1
1,asrsa_score,1
1,asrsb_score,1
1,bai_score,1
1,dbi_score,3
1,oci_score,1
1,srq_score,3
2,asrsb_score,3
2,bai_score,1
2,dbi_score,3
2,oci_score,2
2,srq_score,2
3,asrsb_score,2
3,bai_score,2
3,dbi_score,3
3,oci_score,1
3,srq_score,1
4,asrsa_score,2
4,asrsb_score,1
4,dbi_score,2
4,oci_score,1
4,srq_score,1
5,asrsa_score,1
5,asrsb_score,2
5,bai_score,3
5,dbi_score,3
5,oci_score,2
5,srq_score,2
asrsa_score,asrsa_score,1
asrsa_score,asrsb_score,1
asrsa_score,oci_score,1
asrsa_score,srq_score,1
asrsb_score,asrsb_score,1
asrsb_score,oci_score,1
asrsb_score,srq_score,1
bai_score,asrsa_score,1
bai_score,asrsb_score,1
bai_score,bai_score,1
bai_score,oci_score,1
bai_score,srq_score,1
dbi_score,asrsa_score,1
dbi_score,asrsb_score,1
dbi_score,bai_score,1
dbi_score,dbi_score,1
dbi_score,oci_score,1
dbi_score,srq_score,1
oci_score,oci_score,1
oci_score,srq_score,1
srq_score,srq_score,1
